X,Y,fid,X,Y,Nev,icon_url,MELY_Injektálási mélység [m],MELY_Injektálás tervezett dátuma
19.0731545076346,47.6423023610164,"108","651932","255384",DP108,./0.png,11.8,2022/11/30
19.0732077432538,47.6423023496921,"109","651936","255384",DP109,./1.png,12,2022/12/01
19.0732077264792,47.6422663720881,"110","651936","255380",DP110,./1.png,12,2022/12/01
19.073260978873,47.6423023383432,"111","651940","255384",DP111,./1.png,12,2022/12/01
19.0733142144922,47.6423023269699,"112","651944","255384",DP112,./1.png,12,2022/12/01
19.0733674501113,47.642302315572,"113","651948","255384",DP113,./1.png,12.3,2022/12/01
19.0734206857304,47.6423023041497,"114","651952","255384",DP114,./1.png,12.3,2022/12/01
19.0734739213495,47.6423022927029,"115","651956","255384",DP115,./1.png,12,2022/12/02
19.0732077600284,47.6423383272955,"116","651936","255388",DP116,./1.png,11.8,2022/12/02
19.0732609956839,47.6423383159467,"117","651940","255388",DP117,./1.png,12.3,2022/12/02
19.0732610124947,47.6423742935498,"118","651940","255392",DP118,./1.png,12.3,2022/12/02
19.073207776803,47.6423743048987,"119","651936","255392",DP119,./1.png,11.8,2022/12/02
19.0733674669947,47.6423382931755,"120","651948","255388",DP120,./1.png,12.3,2022/12/02
19.0734207195698,47.6423742593562,"121","651952","255392",DP121,./1.png,12,2022/12/03
19.0734207026501,47.6423382817531,"122","651952","255388",DP122,./1.png,12.3,2022/12/03
19.0734739383055,47.6423382703063,"123","651956","255388",DP123,./1.png,12,2022/12/03
19.0735804096161,47.6423382473391,"124","651964","255388",DP124,./1.png,12,2022/12/03
19.0735804266446,47.6423742249421,"125","651964","255392",DP125,./1.png,12,2022/12/03
19.0733141471039,47.6421584165517,"126","651968","255392",DP126,./1.png,12,2022/12/03
19.0727819407222,47.6424823276141,"127","651904","255404",DP127,./1.png,12,2022/12/05
19.0723031093672,47.6431300236492,"128","651868","255476",DP128,./1.png,12.5,2022/12/05
19.072781841815,47.6422664619965,"129","651904","255380",DP129,./1.png,11.8,2022/12/05
19.0728350773981,47.6422664508437,"130","651908","255380",DP130,./1.png,11.9,2022/12/05
19.0728350939188,47.6423024284477,"131","651908","255384",DP131,./1.png,11.9,2022/12/05
19.0728351104396,47.6423384060512,"132","651908","255388",DP132,./1.png,11.9,2022/12/05
19.0728882964242,47.642230462062,"133","651912","255376",DP133,./1.png,11.9,2022/12/06
19.0728350608774,47.6422304732393,"134","651908","255376",DP134,./1.png,11.7,2022/12/06
19.0727818253305,47.6422304843921,"135","651904","255376",DP135,./1.png,11.7,2022/12/06
19.0723030932086,47.6430940460548,"136","651868","255472",DP136,./1.png,12.5,2022/12/06
19.07230307705,47.6430580684601,"137","651868","255468",DP137,./1.png,12.5,2022/12/06
19.0727818088461,47.6421945067872,"138","651904","255372",DP138,./1.png,11.7,2022/12/06
19.0728350443566,47.6421944956345,"139","651908","255372",DP139,./1.png,11.7,2022/12/07
19.0728882798672,47.6421944844572,"140","651912","255372",DP140,./1.png,11.8,2022/12/07
19.072835027836,47.6421585180293,"141","651908","255368",DP141,./1.png,11.7,2022/12/07
19.0729947841473,47.6422664172384,"142","651920","255380",DP142,./1.png,11.9,2022/12/07
19.0730480363961,47.6423023835915,"143","651924","255384",DP143,./1.png,11.9,2022/12/07
19.0730480030645,47.6422304283832,"144","651924","255376",DP144,./1.png,12.2,2022/12/07
19.0730479863988,47.6421944507784,"145","651924","255372",DP145,./1.png,11.9,2022/12/08
19.073047969733,47.6421584731732,"146","651924","255368",DP146,./1.png,11.9,2022/12/08
19.0730479530673,47.6421224955676,"147","651924","255364",DP147,./1.png,11.8,2022/12/08
19.0731012219093,47.6421944395031,"148","651928","255372",DP148,./1.png,12.2,2022/12/08
19.0731012052073,47.6421584618979,"149","651928","255368",DP149,./1.png,12.2,2022/12/08
19.0731011885053,47.6421224842923,"150","651928","255364",DP150,./1.png,12.2,2022/12/08
19.0728882301964,47.6420865516403,"151","651912","255360",DP151,./1.png,11.8,2022/12/09
19.0729414655982,47.6420865404385,"152","651916","255360",DP152,./1.png,11.8,2022/12/09
19.0729947009999,47.6420865292123,"153","651920","255360",DP153,./1.png,11.8,2022/12/09
19.0730479364017,47.6420865179615,"154","651924","255360",DP154,./1.png,11.8,2022/12/09
19.0731011718034,47.6420865066862,"155","651928","255360",DP155,./1.png,11.8,2022/12/09
