X,Y,STATION_ID,STATION_NE,ALIAS_1,X,Y,TEREP__MBF,PEREM__MBF,KUT_TALP__,FURAS_MELY,STN_TIPUS,STATUS,AZONOSIT,MEGJEGYZéS,PCE,TCE,DCE,VC,öSSZES_VOC,icon_url,SZŰR_szuro_ID,SZŰR_szuro_teteje,SZŰR_szuro_alja,SZŰR_szuro_anyaga,SZŰR_szuro_atm,SZŰR_szuro_lyuk_atm,SZŰR_megjegyzes
19.0738752585428,47.646624822148,"66",A48,,651986.00,255864.59,104.9948,105.7800,13.50,13.50,,,,,418.00,141.00,360.40,"3.39",919.40,./0.png,66,,,,"220",,
19.0723570113211,47.6469736767867,"67",A49,,651871.92,255903.34,104.9822,105.7600,14.10,14.10,,,,,0.08,0.42,14.20,"0",14.70,./0.png,67,,,,"220",,
19.0737846839318,47.6473219069995,"68",A50,,651979.17,255942.09,105.2100,106.2100,14.50,,,,,,1.34,0.59,49.08,"27.7",51.01,./0.png,68,,,,"220",,
19.0759688984893,47.6404217182706,"69",A+,,652143.54,255174.98,103.8886,104.3386,13.60,13.60,,,,,0.00,0.00,4.98,"0",4.98,./0.png,69,,,,"220",,
19.0755216025464,47.6385961379789,"72",B-21,,652110.00,254972.00,103.8700,104.1500,9.38,,,,,,0.07,0.00,0.00,"0",0.07,./0.png,72,5,11,PVC,"125",,
19.069616367019,47.6407119486415,"83",F6,,651666.20,255207.10,104.6600,105.3100,12.22,,,,,,0.11,0.00,0.00,"0",0.11,./0.png,83,,,PVC,"125",,
19.0770396125413,47.6402687346875,"102",P-6,,652224.00,255158.00,104.2100,105.3300,15.72,,,,,,0.31,0.06,0.22,"0",0.59,./0.png,102,,,PVC,"125",,
19.0752446549637,47.6435880971932,"133",Sz-5,,652089.00,255527.00,105.2600,106.1800,16.92,,,,,,8.22,0.05,1.67,"0",9.94,./0.png,136,2.5,16,PVC,"125",,
19.0788350914868,47.6382535308328,"136",Sz-8,,652359.00,254934.00,104.0700,104.8400,8.27,,,,,,0.27,0.04,0.00,"0",0.31,./0.png,139,2,7.5,PVC,"125",,
19.0695094108209,47.6461976515737,"147",Sze-1/2,Dózsa György út,651658.00,255817.00,105.3300,105.6600,11.83,11.50,,,,,0.00,0.03,0.00,"0",0.03,./0.png,150,9,11,PVC,"125",,
19.0716227554396,47.6394874273112,"148",Sze-10,szántó,651817.00,255071.00,104.6700,105.4000,12.73,12.00,,,,,0.13,0.00,0.00,"0",0.13,./0.png,151,9.5,11.5,PVC,"125",,
19.0741645728617,47.6393879543893,"149",Sze-11,szántó,652008.00,255060.00,102.9000,103.7200,12.62,11.80,,,,,0.19,0.07,0.52,"0",0.78,./0.png,152,9.3,11.1,PVC,"125",,
19.0715169733419,47.6410614696893,"150",Sze-12,Dózsa Gy. úti laktanya,651809.00,255246.00,105.3700,106.2100,14.84,14.00,,,,,1.45,2.94,11.70,"0",16.09,./0.png,153,11.5,13.5,PVC,"125",,
19.0739254616724,47.6402964423577,"151",Sze-13,Dózsa Gy. úti laktanya,651990.00,255161.00,104.1200,105.0000,12.98,12.10,,,,,0.03,0.05,0.57,"1.14",0.65,./0.png,154,9.5,11.6,PVC,"125",,
19.0700556062251,47.6474027995022,"154",Sze-16,,651699.00,255951.00,105.5400,106.1400,13.10,,,,,,0.82,0.00,0.00,"0",0.82,./0.png,157,10,12,PVC,"110",,
19.074819992895,47.6460706471928,"156",Sze-18,,652057.00,255803.00,105.4000,106.0700,15.67,,,,,,48.20,1.52,4.09,"0",53.81,./0.png,159,12.5,14.5,PVC,"125",,
19.0721711792015,47.6457294309447,"157",Sze-19,,651858.00,255765.00,105.2000,106.0200,13.82,,,,,,0.13,0.11,71.71,"0.49",71.95,./0.png,160,10.5,12.5,PVC,"125",,
19.0712399044395,47.6466830225195,"158",Sze-2/1,,651788.00,255871.00,106.3200,107.1700,12.85,,,,,,15.20,0.19,0.14,"0",15.53,./0.png,161,9.5,11.5,,"110",,
19.0723570543688,47.6447040320542,"159",Sze-2/2,Ipar utca,651872.00,255651.00,104.9100,105.7500,12.54,11.70,,,,,0.04,0.08,10.90,"0",11.02,./0.png,162,9.2,11.2,PVC,"125",,
19.074473667702,47.6455220673595,"160",Sze-20,,652031.00,255742.00,104.7300,105.3900,13.16,,,,,,1.20,0.82,16.90,"0",18.92,./0.png,163,10,12,PVC,"125",,
19.0717178984368,47.6440205876148,"161",Sze-3,Dózsa Gy. úti laktanya,651824.00,255575.00,105.1800,105.8600,13.38,12.70,,,,,0.27,0.07,1.21,"0",1.55,./0.png,163,10.2,12.2,,"125",,
19.0736606773645,47.6432106868033,"162",Sze-5,Concord Invest F.A telephelye,651970.00,255485.00,104.0000,104.6900,13.19,12.50,,,,,0.02,0.03,13.40,"30",13.45,./0.png,165,11,13,PVC,"125",,
19.0765218888878,47.6427333277172,"164",Sze-7,DMRV Rt.Szennyvíztisztító Telep telephelye,652185.00,255432.00,105.2600,106.0700,13.81,13.00,,,,,0.05,0.00,0.66,"0",0.71,./0.png,167.666666666667,10.5,13,PVC,"125",,
19.0750836760092,47.6410607072824,"165",Sze-8,Dózsa György. úti laktanya,652077.00,255246.00,102.9000,103.8100,13.51,12.60,,,,,0.09,0.00,1.96,"0.5",2.05,./0.png,169.166666666667,10.1,12.1,PVC,"125",,
19.078610636882,47.6413836437849,"166",Sze-9,Dózsa György. úti laktanya,652342.00,255282.00,104.9900,105.8100,14.82,14.00,,,,,0.05,0.03,0.12,"0",0.20,./0.png,170.666666666667,11.5,13.5,PVC,"125",,
19.0708255326083,47.6425007092821,"167",T1,,651757.00,255406.00,105.4000,105.6200,14.92,,,,,,0.03,0.05,0.10,"0",0.18,./0.png,172.166666666667,,,PVC,"200",,
19.0723152059633,47.6404317001718,"168",T2,,651869.00,255176.00,104.4800,104.8300,15.55,,,,,,0.09,0.08,0.66,"0",0.83,./0.png,173.666666666667,,,PVC,"200",,
19.0723773041695,47.642679119133,"169",T3,,651873.59,255425.87,104.7700,104.9600,14.89,,,,,,0.04,0.04,12.70,"33.7",12.78,./0.png,175.166666666667,,,PVC,"200",,
19.0698945404366,47.6473718886056,"181",E101,,651686.90,255947.56,105.4500,106.1300,18.14,17.40,,,,koordináta: VIZIGbemérés,0.00,0.00,0.00,"0",0.00,./0.png,191.833333333333,15.4,17.4,PVC,"63",,
19.0755585279371,47.6470564422433,"182",E102,,652112.45,255912.62,105.1100,105.0200,17.81,17.90,,,,koordináta: VIZIGbemérés,0.20,0.11,0.29,"0",0.60,./0.png,192.666666666666,15.9,17.9,PVC,"63",,
19.0755314886521,47.6478001943941,"183",E103,,652110.39,255995.31,106.0000,106.6900,15.58,14.90,,,,koordináta: VIZIGbemérés,0.21,0.02,0.00,"0",0.23,./0.png,193.499999999999,12.9,14.9,PVC,"63",,
19.0704384134638,47.6470960191885,"184",E104,,651727.77,255916.90,105.4400,106.0900,16.95,16.30,,,,koordináta: VIZIGbemérés,0.07,0.00,0.00,"0",0.07,./0.png,194.333333333332,14.3,16.3,PVC,"63",,
19.0699673255165,47.6469897935949,"185",E105,,651692.38,255905.08,105.5500,106.2800,12.28,11.60,,,,koordináta: VIZIGbemérés,0.00,0.00,0.00,"0",0.00,./0.png,195.166666666665,9.6,11.6,PVC,"63",,
19.0713508209716,47.6477115988735,"186",E106,,651796.30,255985.36,105.7900,106.5200,19.60,18.90,,,,koordináta: VIZIGbemérés,0.00,0.00,0.00,"0",0.00,./0.png,195.999999999998,16.9,18.9,PVC,"63",,
19.074094591459,47.6468676224682,"187",E107,,652002.47,255891.59,105.1200,105.0800,18.85,18.90,,,,koordináta: VIZIGbemérés,123.00,39.50,45.20,"0",207.70,./0.png,196.833333333331,11.9,18.9,PVC,"63",,
19.0720090797166,47.6478602345455,"188",E108,,651845.75,256001.90,105.0600,105.7200,16.59,15.80,,,,koordináta: VIZIGbemérés,0.00,0.05,0.13,"0",0.18,./0.png,197.666666666664,13.8,15.8,PVC,"63",,
19.0718018183078,47.6459985279386,"189",E109,,651830.24,255794.91,105.0300,104.9200,13.60,13.70,,,,koordináta: VIZIGbemérés,0.02,0.06,33.19,"0",33.27,./0.png,198.499999999997,11.7,13.7,PVC,"63",,
19.0731234329656,47.6464590376484,"190",E110,,651929.52,255846.14,105.0800,105.0100,13.71,12.00,,,,koordináta: VIZIGbemérés,231.00,49.30,795.89,"31",1076.19,./0.png,199.33333333333,12,14,PVC,"63",,
